mc	mn	onset	label
1	0	5/8	.c.V
2	1	0	i
2	1	5/8	V
3	2	0	i
3	2	5/8	V
4	3	0	i
4	3	1/8	V43
4	3	1/4	i6
4	3	3/8	V43
4	3	1/2	i
4	3	5/8	V7(9)
5	4	0	i
5	4	5/8	V
6	5	0	i
6	5	3/8	V/III
7	6	0	III
7	6	3/8	V/v
8	7	0	v
8	7	3/8	V/VII
9	8	0	VII
9	8	1/4	V2/III
9	8	3/8	V
9	8	5/8	V7
10	9	0	i
10	9	5/8	V
11	10	0	i
11	10	5/8	V
12	11	0	i
12	11	1/8	V43
12	11	1/4	i6
12	11	3/8	V43
12	11	1/2	i
12	11	5/8	V7(9)
13	12	0	i
13	12	5/8	V
14	13	0	i
14	13	3/8	V/III
15	14	0	III
15	14	3/8	iio6
15	14	1/2	i6
15	14	5/8	iio6
16	15	0	V(64)
16	15	1/8	iio6
16	15	1/4	V(64)
16	15	3/8	iio64
16	15	1/2	V(64)
16	15	5/8	iio64
17	16	0	V(64)
17	16	1/8	iio64
17	16	1/4	V
17	16	3/8	i\\
18	16	5/8	#viio6/iv
19	17	0	V7/iv
22	20	5/8	#viio6/iv
23	21	0	iv6
23	21	1/8	#viio43/iv
23	21	1/4	iv6
23	21	3/8	#viio6/iv
23	21	1/2	iv6
23	21	5/8	#viio6/iv
24	22	0	iv
24	22	3/8	iv/iv
25	23	0	V(64)/iv
25	23	3/8	#viio7/ii
26	24	0	V7/v
29	27	5/8	#viio6/v
30	28	0	v6
30	28	1/8	#viio43/v
30	28	1/4	v6
30	28	3/8	#viio6/v
30	28	1/2	v6
30	28	5/8	#viio6/v
31	29	0	v
31	29	3/8	iv/v
32	30	0	V(64)/v
32	30	3/8	iio64/v
33	31	0	V7
34	32	3/8	i(9#74)
34	32	1/2	i
34	32	5/8	v64
35	33	0	V7/v
36	34	3/8	V
36	34	5/8	i6
37	35	0	V7
38	36	3/8	i(9#74)
38	36	1/2	i
38	36	5/8	v64
39	37	0	V7/v\\
42	40	5/8	V6/v
43	41	1/4	v
43	41	5/8	iio6/v
44	42	3/8	V/v
