mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	3.0	0	0	12/8	2	1	3/4		1/2	3/2		2	62	D4	4	3
1	1	0	0	3.0	0	0	12/8	4	1	3/4		1/2	3/2		2	62	D4	4	9
1	1	0	0	3.0	0	0	12/8	3	1	3/4		1/2	3/2		6	66	F#4	4	6
1	1	0	0	3.0	0	0	12/8	3	1	3/4		1/2	3/2		3	69	A4	4	6
1	1	0	0	3.0	0	0	12/8	2	1	3/4		1/2	3/2		2	74	D5	5	3
1	1	0	0	3.0	0	0	12/8	1	1	3/4		1/2	3/2		2	86	D6	6	0
1	1	3	3	1.5	3/4	3/4	12/8	4	1	3/8		1/4	3/2		1	55	G3	3	10
1	1	3	3	1.5	3/4	3/4	12/8	3	1	3/8		1/4	3/2		1	67	G4	4	7
1	1	3	3	1.5	3/4	3/4	12/8	3	1	3/8		1/4	3/2		5	71	B4	4	7
1	1	3	3	1.5	3/4	3/4	12/8	2	1	3/8		1/4	3/2		2	74	D5	5	4
1	1	3	3	1.5	3/4	3/4	12/8	2	1	3/8		1/4	3/2		4	76	E5	5	4
1	1	3	3	1.5	3/4	3/4	12/8	1	1	3/8		1/4	3/2		4	88	E6	6	1
1	1	9/2	9/2	1.5	9/8	9/8	12/8	4	1	3/8		1/4	3/2		3	57	A3	3	11
1	1	9/2	9/2	1.5	9/8	9/8	12/8	3	1	3/8		1/4	3/2		1	67	G4	4	8
1	1	9/2	9/2	1.5	9/8	9/8	12/8	3	1	3/8		1/4	3/2		3	69	A4	4	8
1	1	9/2	9/2	1.5	9/8	9/8	12/8	2	1	3/8		1/4	3/2		7	73	C#5	5	5
1	1	9/2	9/2	1.5	9/8	9/8	12/8	2	1	3/8		1/4	3/2		4	76	E5	5	5
1	1	9/2	9/2	1.5	9/8	9/8	12/8	1	1	3/8		1/4	3/2		3	81	A5	5	2
2	2	6	6	1.0	0	0	12/8	4	1	1/4		1/4	1		2	62	D4	4	42
2	2	6	6	1.0	0	0	12/8	3	1	1/4		1/4	1		6	66	F#4	4	32
2	2	6	6	1.0	0	0	12/8	3	1	1/4		1/4	1		3	69	A4	4	32
2	2	6	6	1.0	0	0	12/8	2	1	1/4		1/4	1		2	74	D5	5	22
2	2	6	6	1.0	0	0	12/8	2	1	1/4		1/4	1		6	78	F#5	5	22
2	2	6	6	1.0	0	0	12/8	1	1	1/4		1/4	1		6	90	F#6	6	12
2	2	15/2	15/2	0.5	3/8	3/8	12/8	4	1	1/8		1/8	1		3	45	A2	2	43
2	2	15/2	15/2	0.5	3/8	3/8	12/8	1	1	1/8		1/8	1		3	57	A3	3	13
2	2	15/2	15/2	0.5	3/8	3/8	12/8	2	1	1/8		1/8	1		3	57	A3	3	23
2	2	15/2	15/2	0.5	3/8	3/8	12/8	3	1	1/8		1/8	1		3	57	A3	3	33
2	2	8	8	0.5	1/2	1/2	12/8	4	1	1/8		1/8	1		5	47	B2	2	44
2	2	8	8	0.5	1/2	1/2	12/8	1	1	1/8		1/8	1		5	59	B3	3	14
2	2	8	8	0.5	1/2	1/2	12/8	2	1	1/8		1/8	1		5	59	B3	3	24
2	2	8	8	0.5	1/2	1/2	12/8	3	1	1/8		1/8	1		5	59	B3	3	34
2	2	17/2	17/2	0.5	5/8	5/8	12/8	4	1	1/8		1/8	1		7	49	C#3	3	45
2	2	17/2	17/2	0.5	5/8	5/8	12/8	1	1	1/8		1/8	1		7	61	C#4	4	15
2	2	17/2	17/2	0.5	5/8	5/8	12/8	2	1	1/8		1/8	1		7	61	C#4	4	25
2	2	17/2	17/2	0.5	5/8	5/8	12/8	3	1	1/8		1/8	1		7	61	C#4	4	35
2	2	9	9	0.5	3/4	3/4	12/8	4	1	1/8		1/8	1		2	50	D3	3	46
2	2	9	9	0.5	3/4	3/4	12/8	1	1	1/8		1/8	1		2	62	D4	4	16
2	2	9	9	0.5	3/4	3/4	12/8	2	1	1/8		1/8	1		2	62	D4	4	26
2	2	9	9	0.5	3/4	3/4	12/8	3	1	1/8		1/8	1		2	62	D4	4	36
2	2	19/2	19/2	0.5	7/8	7/8	12/8	4	1	1/8		1/8	1		7	49	C#3	3	47
2	2	19/2	19/2	0.5	7/8	7/8	12/8	1	1	1/8		1/8	1		7	61	C#4	4	17
2	2	19/2	19/2	0.5	7/8	7/8	12/8	2	1	1/8		1/8	1		7	61	C#4	4	27
2	2	19/2	19/2	0.5	7/8	7/8	12/8	3	1	1/8		1/8	1		7	61	C#4	4	37
2	2	10	10	0.5	1	1	12/8	4	1	1/8		1/8	1		2	50	D3	3	48
2	2	10	10	0.5	1	1	12/8	1	1	1/8		1/8	1		2	62	D4	4	18
2	2	10	10	0.5	1	1	12/8	2	1	1/8		1/8	1		2	62	D4	4	28
2	2	10	10	0.5	1	1	12/8	3	1	1/8		1/8	1		2	62	D4	4	38
2	2	21/2	21/2	0.5	9/8	9/8	12/8	4	1	1/8		1/8	1		3	45	A2	2	49
2	2	21/2	21/2	0.5	9/8	9/8	12/8	1	1	1/8		1/8	1		3	57	A3	3	19
2	2	21/2	21/2	0.5	9/8	9/8	12/8	2	1	1/8		1/8	1		3	57	A3	3	29
2	2	21/2	21/2	0.5	9/8	9/8	12/8	3	1	1/8		1/8	1		3	57	A3	3	39
2	2	11	11	0.5	5/4	5/4	12/8	4	1	1/8		1/8	1		2	50	D3	3	50
2	2	11	11	0.5	5/4	5/4	12/8	1	1	1/8		1/8	1		2	62	D4	4	20
2	2	11	11	0.5	5/4	5/4	12/8	2	1	1/8		1/8	1		2	62	D4	4	30
2	2	11	11	0.5	5/4	5/4	12/8	3	1	1/8		1/8	1		2	62	D4	4	40
2	2	23/2	23/2	0.5	11/8	11/8	12/8	4	1	1/8		1/8	1		4	52	E3	3	51
2	2	23/2	23/2	0.5	11/8	11/8	12/8	1	1	1/8		1/8	1		4	64	E4	4	21
2	2	23/2	23/2	0.5	11/8	11/8	12/8	2	1	1/8		1/8	1		4	64	E4	4	31
2	2	23/2	23/2	0.5	11/8	11/8	12/8	3	1	1/8		1/8	1		4	64	E4	4	41
3	3	12	12	0.5	0	0	12/8	4	1	1/8		1/8	1		6	54	F#3	3	88
3	3	12	12	0.5	0	0	12/8	1	1	1/8		1/8	1		6	66	F#4	4	52
3	3	12	12	0.5	0	0	12/8	2	1	1/8		1/8	1		6	66	F#4	4	64
3	3	12	12	0.5	0	0	12/8	3	1	1/8		1/8	1		6	66	F#4	4	76
3	3	25/2	25/2	0.5	1/8	1/8	12/8	4	1	1/8		1/8	1		4	52	E3	3	89
3	3	25/2	25/2	0.5	1/8	1/8	12/8	1	1	1/8		1/8	1		4	64	E4	4	53
3	3	25/2	25/2	0.5	1/8	1/8	12/8	2	1	1/8		1/8	1		4	64	E4	4	65
3	3	25/2	25/2	0.5	1/8	1/8	12/8	3	1	1/8		1/8	1		4	64	E4	4	77
3	3	13	13	0.5	1/4	1/4	12/8	4	1	1/8		1/8	1		6	54	F#3	3	90
3	3	13	13	0.5	1/4	1/4	12/8	1	1	1/8		1/8	1		6	66	F#4	4	54
3	3	13	13	0.5	1/4	1/4	12/8	2	1	1/8		1/8	1		6	66	F#4	4	66
3	3	13	13	0.5	1/4	1/4	12/8	3	1	1/8		1/8	1		6	66	F#4	4	78
3	3	27/2	27/2	0.5	3/8	3/8	12/8	4	1	1/8		1/8	1		2	50	D3	3	91
3	3	27/2	27/2	0.5	3/8	3/8	12/8	1	1	1/8		1/8	1		2	62	D4	4	55
3	3	27/2	27/2	0.5	3/8	3/8	12/8	2	1	1/8		1/8	1		2	62	D4	4	67
3	3	27/2	27/2	0.5	3/8	3/8	12/8	3	1	1/8		1/8	1		2	62	D4	4	79
3	3	14	14	0.5	1/2	1/2	12/8	4	1	1/8		1/8	1		6	54	F#3	3	92
3	3	14	14	0.5	1/2	1/2	12/8	1	1	1/8		1/8	1		6	66	F#4	4	56
3	3	14	14	0.5	1/2	1/2	12/8	2	1	1/8		1/8	1		6	66	F#4	4	68
3	3	14	14	0.5	1/2	1/2	12/8	3	1	1/8		1/8	1		6	66	F#4	4	80
3	3	29/2	29/2	0.5	5/8	5/8	12/8	4	1	1/8		1/8	1		1	55	G3	3	93
