mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	0	4/4	4	1	1	1	1	1	1	43	24
1	1	0	0	4/4	3	1	1/8	1/8	1		1	55	16
1	1	0	0	4/4	2	1	1/16	1/16	1		5	59	0
1	1	1/16	1/16	4/4	2	1	1/16	1/16	1		2	62	1
1	1	1/8	1/8	4/4	3	1	1/8	1/8	1		5	59	17
1	1	1/8	1/8	4/4	2	1	1/16	1/16	1		1	67	2
1	1	3/16	3/16	4/4	2	1	1/16	1/16	1		2	62	3
1	1	1/4	1/4	4/4	3	1	1/8	1/8	1		2	62	18
1	1	1/4	1/4	4/4	2	1	1/16	1/16	1		5	71	4
1	1	5/16	5/16	4/4	2	1	1/16	1/16	1		6	66	5
1	1	3/8	3/8	4/4	3	1	1/8	1/8	1		5	59	19
1	1	3/8	3/8	4/4	2	1	1/16	1/16	1		3	69	6
1	1	7/16	7/16	4/4	2	1	1/16	1/16	1		1	67	7
1	1	1/2	1/2	4/4	3	1	1/8	1/8	1		1	55	20
1	1	1/2	1/2	4/4	2	1	1/16	1/16	1		5	59	8
1	1	9/16	9/16	4/4	2	1	1/16	1/16	1		2	62	9
1	1	5/8	5/8	4/4	3	1	1/8	1/8	1		5	59	21
1	1	5/8	5/8	4/4	2	1	1/16	1/16	1		1	67	10
1	1	11/16	11/16	4/4	2	1	1/16	1/16	1		2	62	11
1	1	3/4	3/4	4/4	3	1	1/8	1/8	1		2	62	22
1	1	3/4	3/4	4/4	2	1	1/16	1/16	1		5	71	12
1	1	13/16	13/16	4/4	2	1	1/16	1/16	1		6	66	13
1	1	7/8	7/8	4/4	3	1	1/8	1/8	1		5	59	23
1	1	7/8	7/8	4/4	2	1	1/16	1/16	1		3	69	14
1	1	15/16	15/16	4/4	2	1	1/16	1/16	1		1	67	15
2	2	0	0	4/4	4	1	1	1	1	0	1	43	49
2	2	0	0	4/4	3	1	1/8	1/8	1		1	55	41
2	2	0	0	4/4	2	1	1/16	1/16	1		0	60	25
2	2	1/16	1/16	4/4	2	1	1/16	1/16	1		4	64	26
2	2	1/8	1/8	4/4	3	1	1/8	1/8	1		0	60	42
2	2	1/8	1/8	4/4	2	1	1/16	1/16	1		3	69	27
2	2	3/16	3/16	4/4	2	1	1/16	1/16	1		4	64	28
2	2	1/4	1/4	4/4	3	1	1/8	1/8	1		4	64	43
2	2	1/4	1/4	4/4	2	1	1/16	1/16	1		0	72	29
2	2	5/16	5/16	4/4	2	1	1/16	1/16	1		8	68	30
2	2	3/8	3/8	4/4	3	1	1/8	1/8	1	1	0	60	44
2	2	3/8	3/8	4/4	2	1	1/16	1/16	1		5	71	31
2	2	7/16	7/16	4/4	2	1	1/16	1/16	1		3	69	32
2	2	1/2	1/2	4/4	3	1	1/8	1/8	1	-1	0	60	45
2	2	1/2	1/2	4/4	2	1	1/16	1/16	1		1	67	33
2	2	9/16	9/16	4/4	2	1	1/16	1/16	1		6	66	34
2	2	5/8	5/8	4/4	3	1	1/8	1/8	1		3	57	46
2	2	5/8	5/8	4/4	2	1	1/16	1/16	1		3	69	35
2	2	11/16	11/16	4/4	2	1	1/16	1/16	1		6	66	36
2	2	3/4	3/4	4/4	3	1	1/8	1/8	1		6	54	47
2	2	3/4	3/4	4/4	2	1	1/16	1/16	1		2	62	37
2	2	13/16	13/16	4/4	2	1	1/16	1/16	1		9	63	38
2	2	7/8	7/8	4/4	3	1	1/8	1/8	1		0	60	48
2	2	7/8	7/8	4/4	2	1	1/16	1/16	1		4	64	39
2	2	15/16	15/16	4/4	2	1	1/16	1/16	1		6	66	40
3	3	0	0	4/4	4	1	1	1	1	0	1	43	77
3	3	0	0	4/4	3	1	1/8	1/8	1		5	59	69
3	3	0	0	4/4	2	1	1/16	1/16	1		1	67	53
3	3	0	0	4/4	1	1	1/2	1/2	1		2	74	50
3	3	1/16	1/16	4/4	2	1	1/16	1/16	1		2	62	54
3	3	1/8	1/8	4/4	3	1	1/8	1/8	1		5	59	70
3	3	1/8	1/8	4/4	2	1	1/16	1/16	1		1	67	55
3	3	3/16	3/16	4/4	2	1	1/16	1/16	1		2	62	56
3	3	1/4	1/4	4/4	3	1	1/8	1/8	1		2	62	71
3	3	1/4	1/4	4/4	2	1	1/16	1/16	1		5	71	57
3	3	5/16	5/16	4/4	2	1	1/16	1/16	1		6	66	58
3	3	3/8	3/8	4/4	3	1	1/8	1/8	1		5	59	72
3	3	3/8	3/8	4/4	2	1	1/16	1/16	1		3	69	59
3	3	7/16	7/16	4/4	2	1	1/16	1/16	1		1	67	60
3	3	1/2	1/2	4/4	3	1	1/8	1/8	1		1	55	73
3	3	1/2	1/2	4/4	2	1	1/16	1/16	1		5	59	61
3	3	1/2	1/2	4/4	1	1	3/8	1/4	3/2		1	79	51
3	3	9/16	9/16	4/4	2	1	1/16	1/16	1		2	62	62
3	3	5/8	5/8	4/4	3	1	1/8	1/8	1		5	59	74
3	3	5/8	5/8	4/4	2	1	1/16	1/16	1		1	67	63
3	3	11/16	11/16	4/4	2	1	1/16	1/16	1		2	62	64
3	3	3/4	3/4	4/4	3	1	1/8	1/8	1		2	62	75
3	3	3/4	3/4	4/4	2	1	1/16	1/16	1		5	71	65
3	3	13/16	13/16	4/4	2	1	1/16	1/16	1		6	66	66
3	3	7/8	7/8	4/4	3	1	1/8	1/8	1		5	59	76
3	3	7/8	7/8	4/4	2	1	1/16	1/16	1		3	69	67
3	3	7/8	7/8	4/4	1	1	1/8	1/8	1		9	75	52
3	3	15/16	15/16	4/4	2	1	1/16	1/16	1		1	67	68
4	4	0	0	4/4	4	1	1	1	1	0	1	43	105
4	4	0	0	4/4	3	1	1/8	1/8	1		1	55	97
4	4	0	0	4/4	2	1	1/16	1/16	1		0	60	81
4	4	0	0	4/4	1	1	1/2	1/2	1		4	76	78
4	4	1/16	1/16	4/4	2	1	1/16	1/16	1		4	64	82
4	4	1/8	1/8	4/4	3	1	1/8	1/8	1		0	60	98
4	4	1/8	1/8	4/4	2	1	1/16	1/16	1		3	69	83
4	4	3/16	3/16	4/4	2	1	1/16	1/16	1		4	64	84
4	4	1/4	1/4	4/4	3	1	1/8	1/8	1		4	64	99
4	4	1/4	1/4	4/4	2	1	1/16	1/16	1		0	72	85
4	4	5/16	5/16	4/4	2	1	1/16	1/16	1		8	68	86
4	4	3/8	3/8	4/4	3	1	1/8	1/8	1	1	0	60	100
4	4	3/8	3/8	4/4	2	1	1/16	1/16	1		5	71	87
4	4	7/16	7/16	4/4	2	1	1/16	1/16	1		3	69	88
4	4	1/2	1/2	4/4	3	1	1/8	1/8	1	-1	0	60	101
4	4	1/2	1/2	4/4	2	1	1/16	1/16	1		1	67	89
4	4	1/2	1/2	4/4	1	1	1/4	1/4	1		3	81	79
4	4	9/16	9/16	4/4	2	1	1/16	1/16	1		6	66	90
4	4	5/8	5/8	4/4	3	1	1/8	1/8	1		3	57	102
4	4	5/8	5/8	4/4	2	1	1/16	1/16	1		3	69	91
4	4	11/16	11/16	4/4	2	1	1/16	1/16	1		6	66	92
4	4	3/4	3/4	4/4	3	1	1/8	1/8	1		6	54	103
4	4	3/4	3/4	4/4	2	1	1/16	1/16	1		2	62	93
4	4	3/4	3/4	4/4	1	1	1/4	1/4	1		0	72	80
4	4	13/16	13/16	4/4	2	1	1/16	1/16	1		9	63	94
4	4	7/8	7/8	4/4	3	1	1/8	1/8	1	1	2	50	104
4	4	7/8	7/8	4/4	2	1	1/16	1/16	1		4	64	95
4	4	15/16	15/16	4/4	2	1	1/16	1/16	1		6	66	96
5	5	0	0	4/4	4	1	1/2	1/2	1	-1	1	43	134
5	5	0	0	4/4	3	1	1/8	1/8	1	-1	2	50	126
5	5	0	0	4/4	2	1	1/16	1/16	1		1	67	110
5	5	0	0	4/4	1	1	1/4	1/4	1		5	71	106
5	5	1/16	1/16	4/4	2	1	1/16	1/16	1		2	62	111
5	5	1/8	1/8	4/4	3	1	1/8	1/8	1		2	50	127
5	5	1/8	1/8	4/4	2	1	1/16	1/16	1		1	67	112
5	5	3/16	3/16	4/4	2	1	1/16	1/16	1		2	62	113
5	5	1/4	1/4	4/4	3	1	1/8	1/8	1		1	55	128
5	5	1/4	1/4	4/4	2	1	1/16	1/16	1		5	71	114
5	5	1/4	1/4	4/4	1	1	1/4	1/4	1		2	74	107
5	5	5/16	5/16	4/4	2	1	1/16	1/16	1		6	66	115
5	5	3/8	3/8	4/4	3	1	1/8	1/8	1		5	59	129
5	5	3/8	3/8	4/4	2	1	1/16	1/16	1		3	69	116
5	5	7/16	7/16	4/4	2	1	1/16	1/16	1		1	67	117
5	5	1/2	1/2	4/4	4	1	1/4	1/4	1		5	47	135
5	5	1/2	1/2	4/4	2	1	1/16	1/16	1		1	55	118
5	5	1/2	1/2	4/4	3	1	1/8	1/8	1		2	62	130
5	5	1/2	1/2	4/4	1	1	3/8	1/4	3/2		1	79	108
5	5	9/16	9/16	4/4	2	1	1/16	1/16	1		2	62	119
5	5	5/8	5/8	4/4	3	1	1/8	1/8	1		5	59	131
5	5	5/8	5/8	4/4	2	1	1/16	1/16	1		1	67	120
5	5	11/16	11/16	4/4	2	1	1/16	1/16	1		2	62	121
5	5	3/4	3/4	4/4	4	1	1/4	1/4	1		1	43	136
5	5	3/4	3/4	4/4	3	1	1/8	1/8	1		2	62	132
