mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	0	3/4	4	1	1/4		1/4	1		-4	56		10
1	1	0	0	3/4	3	1	1/4		1/4	1		0	60		5
1	1	0	0	3/4	2	1	1/4		1/4	1		-3	63		0
1	1	1/4	1/4	3/4	4	1	1/8		1/8	1		-4	56		11
1	1	1/4	1/4	3/4	3	1	1/8		1/8	1		0	60		6
1	1	1/4	1/4	3/4	2	1	1/8		1/8	1		-3	63		1
1	1	3/8	3/8	3/4	4	1	1/8		1/8	1		-4	56		12
1	1	3/8	3/8	3/4	3	1	1/8		1/8	1		0	60		7
1	1	3/8	3/8	3/4	2	1	1/8		1/8	1		-3	63		2
1	1	1/2	1/2	3/4	4	1	1/8		1/8	1		-4	56		13
1	1	1/2	1/2	3/4	3	1	1/8		1/8	1		0	60		8
1	1	1/2	1/2	3/4	2	1	1/8		1/8	1		-3	63		3
1	1	5/8	5/8	3/4	4	1	1/8		1/8	1		-4	56		14
1	1	5/8	5/8	3/4	3	1	1/8		1/8	1		0	60		9
1	1	5/8	5/8	3/4	2	1	1/8		1/8	1		-3	63		4
2	2	0	0	3/4	4	1	3/4		1/2	3/2		-4	56		19
2	2	0	0	3/4	3	1	3/4		1/2	3/2	1	-5	61		18
2	2	0	0	3/4	2	1	3/4		1/2	3/2		-8	64		17
2	2	1/4	1/4	3/4	1	1	1/4		1/4	1		3	69		15
2	2	1/2	1/2	3/4	1	1	1/4		1/4	1		-2	70		16
3	3	0	0	3/4	4	1	1/4		1/4	1		1	55		35
3	3	0	0	3/4	3	1	1/4		1/4	1	-1	-5	61		30
3	3	0	0	3/4	2	1	1/4		1/4	1		-3	63		25
3	3	0	0	3/4	1	1	1/4		1/4	1		-2	70		20
3	3	1/4	1/4	3/4	4	1	1/8		1/8	1		1	55		36
3	3	1/4	1/4	3/4	3	1	1/8		1/8	1		-5	61		31
3	3	1/4	1/4	3/4	2	1	1/8		1/8	1		-3	63		26
3	3	1/4	1/4	3/4	1	1	1/8		1/8	1		-2	70		21
3	3	3/8	3/8	3/4	4	1	1/8		1/8	1		1	55		37
3	3	3/8	3/8	3/4	3	1	1/8		1/8	1		-5	61		32
3	3	3/8	3/8	3/4	2	1	1/8		1/8	1		-3	63		27
3	3	3/8	3/8	3/4	1	1	1/8		1/8	1		-2	70		22
3	3	1/2	1/2	3/4	4	1	1/8		1/8	1		1	55		38
3	3	1/2	1/2	3/4	3	1	1/8		1/8	1		-5	61		33
3	3	1/2	1/2	3/4	2	1	1/8		1/8	1		-3	63		28
3	3	1/2	1/2	3/4	1	1	1/8		1/8	1		0	72		23
3	3	5/8	5/8	3/4	4	1	1/8		1/8	1		1	55		39
3	3	5/8	5/8	3/4	3	1	1/8		1/8	1		-5	61		34
3	3	5/8	5/8	3/4	2	1	1/8		1/8	1		-3	63		29
